Name,Score,Status
王牌特工：特工学院,8.5,
疯狂的麦克斯4：狂暴之路,8.6,
正义联盟：神明与怪物,8.1,
星际穿越,9.1,
超能陆战队,8.6,
速度与激情7,8.4,
肖申克的救赎,9.6,
消失的爱人,8.7,
再次出发之纽约遇见你,8.5,
这个杀手不太冷,9.4,
盗梦空间,9.2,
哆啦A梦：伴我同行,8.0,
三傻大闹宝莱坞,9.1,
模仿游戏,8.5,
阿甘正传,9.4,
千与千寻,9.2,
布达佩斯大饭店,8.7,
泰坦尼克号,9.1,
少年派的奇幻漂流,9.0,
霸王别姬,9.4,
爆裂鼓手,8.6,
怦然心动,8.9,
我的个神啊,8.3,
海上钢琴师,9.2,
大话西游之大圣娶亲,9.1,
亲爱的,8.4,
当幸福来敲门,8.9,
忠犬八公的故事,9.2,
让子弹飞,8.7,
小森林,8.9,
V字仇杀队,8.8,
机器人总动员,9.3,
疯狂原始人,8.8,
神偷奶爸,8.5,
霍比特人3：五军之战,8.2,
大话西游之月光宝盒,8.9,
飞屋环游记,8.9,
楚门的世界,8.9,
搏击俱乐部,9.0,
放牛班的春天,9.2,
触不可及,9.1,
龙猫,9.1,
那些年，我们一起追的女孩,8.2,
冰雪奇缘,8.3,
美丽人生,9.4,
明日边缘,8.1,
阿凡达,8.6,
她,8.3,
剪刀手爱德华,8.7,
彗星来的那一夜,8.3,
天使爱美丽,8.8,
X战警：逆转未来,8.2,
教父,9.2,
致命魔术,8.8,
初恋这件小事,8.3,
无间道,8.9,
源代码,8.3,
黑天鹅,8.5,
七宗罪,8.7,
辛德勒的名单,9.4,
西西里的美丽传说,8.6,
蝴蝶效应,8.6,
神偷奶爸2,8.0,
本杰明·巴顿奇事,8.7,
小森林,9.0,
禁闭岛,8.5,
时空恋旅人,8.5,
辩护人,9.1,
少年时代,8.5,
恐怖游轮,8.2,
蝙蝠侠：黑暗骑士,8.9,
罗马假日,8.9,
天空之城,9.0,
致命ID,8.5,
阳光姐妹淘,8.8,
情书,8.8,
无人区,8.1,
哈尔的移动城堡,8.8,
美丽心灵,8.9,
告白,8.6,
唐伯虎点秋香,8.3,
沉默的羔羊,8.7,
恐怖直播,8.7,
指环王1：魔戒再现,8.9,
低俗小说,8.7,
驯龙高手,8.7,
贫民窟的百万富翁,8.5,
海洋之歌,8.8,
疯狂的石头,8.1,
荒蛮故事,8.6,
素媛,9.0,
蝙蝠侠：黑暗骑士崛起,8.5,
断背山,8.5,
小羊肖恩,8.5,
加勒比海盗,8.5,
国王的演讲,8.3,
闻香识女人,8.9,
喜剧之王,8.2,
天堂电影院,9.1,
指环王3：王者无敌,9.1,
被嫌弃的松子的一生,8.9,
我是谁：没有绝对安全的系统,8.0,
黑客帝国,8.7,
飞越疯人院,9.0,
夜行者,8.2,
两杆大烟枪,9.0,
重庆森林,8.6,
指环王2：双塔奇兵,8.9,
被解救的姜戈,8.5,
记忆碎片,8.5,
死亡诗社,8.9,
云图,8.0,
射雕英雄传之东成西就,8.7,
杀人回忆,8.5,
百元之恋,8.3,
霍比特人2：史矛革之战,8.1,
达拉斯买家俱乐部,8.6,
秒速5厘米,8.5,
岁月神偷,8.6,
活着,9.0,
心灵捕手,8.7,
狮子王,8.8,
7号房的礼物,8.6,
窃听风暴,9.1,
入殓师,8.8,
香水,8.4,
哈利·波特与魔法石,8.5,
霍比特人1：意外之旅,8.1,
恋恋笔记本,8.5,
怪兽电力公司,8.5,
冰川时代,8.4,
爱在黎明破晓前,8.7,
怪兽大学,8.0,
乱世佳人,9.2,
哈利·波特与死亡圣器(下),8.6,
和莎莫的500天,8.0,
勇敢的心,8.8,
傲慢与偏见,8.4,
听说,8.1,
阳光灿烂的日子,8.7,
真爱至上,8.5,
倩女幽魂,8.5,
鬼子来了,9.1,
猫鼠游戏,8.6,
狩猎,9.0,
两小无猜,8.2,
曾经,8.4,
速度与激情5,8.4,
十二怒汉,9.3,
奇怪的她,8.3,
超脱,8.7,
穆赫兰道,8.4,
哪啊哪啊神去村,8.5,
白日梦想家,8.2,
东邪西毒,8.5,
春光乍泄,8.7,
花样年华,8.3,
爱在日落黄昏时,8.7,
大鱼,8.7,
第六感,8.8,
无敌破坏王,8.7,
志明与春娇,8.0,
幽灵公主,8.7,
美国往事,9.1,
甜蜜蜜,8.7,
青蛇,8.3,
借东西的小人阿莉埃蒂,8.7,
饮食男女,8.9,
拯救大兵瑞恩,8.8,
教父2,9.1,
音乐之声,8.9,
假如爱有天意,8.2,
朗读者,8.4,
玛丽和马克思,8.9,
钢琴家,9.0,
这个男人来自地球,8.5,
无耻混蛋,8.3,
萤火之森,8.8,
幸福终点站,8.6,
功夫熊猫2,8.0,
碟中谍4,8.2,
社交网络,8.1,
人工智能,8.6,
菊次郎的夏天,8.7,
蓝色大门,8.3,
悲惨世界,8.5,
雨人,8.6,
猜火车,8.5,
我的野蛮女友,8.0,
美国丽人,8.4,
X战警：第一战,8.1,
爱在午夜降临前,8.7,
萤火虫之墓,8.7,
阿黛尔的生活,8.3,
阿飞正传,8.5,
穿越时空的少女,8.7,
逃离德黑兰,8.2,
发条橙,8.4,
少年斯派维的奇异旅行,8.5,
变脸,8.4,
魔女宅急便,8.4,
末代皇帝,8.7,
英国病人,8.4,
风之谷,8.8,
龙纹身的女孩,8.0,
爱在暹罗,8.3,
九品芝麻官,8.0,
里约大冒险,8.4,
谍影重重,8.4,
上帝之城,8.9,
孤儿,8.0,
新龙门客栈,8.4,
第九区,8.1,
战争之王,8.5,
桃姐,8.2,
谍影重重3,8.7,
夜访吸血鬼,8.3,
黑客帝国3：矩阵革命,8.4,
侧耳倾听,8.8,
浪潮,8.7,
撞车,8.6,
一一,8.9,
玩具总动员3,8.8,
午夜巴黎,8.1,
穿条纹睡衣的男孩,8.8,
变形金刚,8.1,
英雄本色,8.7,
